Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_40_noise_5.csv,no_sampling,1,1,500,300,0.0001,1.0e-5,10000.0,tanh,5,3,1.0e-12,0.140534618083825,0.4604497501532892,10.082416666666667,6.749772550375045,4.865160858062835
Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
Problem name,mechanistic setting,Dataset,Sampling strategy,par row,Array ID,Epochs ADAM,Epochs BFGS,Learning rate ADAM,Stepnorm BFGS,λ_reg,Activation function,Hidden layers,Hidden neurons,Tolerance, Mean MSE,Mean nMSE,Runtime,Loss,NegLL
