Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,objective_function_value
4.3100948191353154,-4.930894458332963,-0.2586339994973068,4.922499038717836,-1.4388864192419453,2.0708557739086952,1.6480220439735476,1.1676185066505358,255.30646599219023
2.5134340064793035,-2.4221201759176045,-2.806597359399364,3.7496085691714,0.6326531359509051,2.405620167198313,2.8095440071708824,1.5079324503569493,295.60230982925873
2.481750558874257,3.8217123915004887,2.516506696027493,-1.913606232096472,-0.44594229953001996,1.5867679304210425,2.9632595326743605,1.2976146128310093,297.4667926603352
1.991898644597426,-0.08270734801257262,1.9463928242113937,-3.6749202691897267,-4.0015691732691065,2.8302730651074235,2.1881800093004102,0.9844383719560366,300.5042027317792
-1.9164160244040533,-0.9389647601485791,3.1550796599077664,-3.330039753944092,-1.2086978851503005,1.956540269728979,3.30037216041689,1.4805973596591482,301.23199674490337
3.754185018717383,-0.1966938381734229,-2.330824430234813,1.697463163983059,-0.43153185621299883,3.075275152434621,1.4169587221969282,1.6421337130105904,310.3877730046738
3.7631557310887054,-3.8255286739295533,1.6665596925520996,-4.718506159229712,0.6868580870114291,1.353562035252999,2.175522470450529,1.372747372809906,318.9205029304447
0.05243622465100195,3.314809074215802,-4.670933859741805,-4.225666186830397,2.807890576214776,2.2174822426985017,2.1983871487885454,2.979008669594105,318.9485645756306
-0.016536874723348305,-0.8114062893282972,-1.2340250036683953,1.6237748108903975,-2.979653054216497,3.933477739109792,1.9285663042036463,1.2628908220082629,319.7026408711869
-2.6670014380930076,-1.2591846908528765,3.744286329100845,-0.11066463737889265,2.1001200726799416,1.8105742931712072,3.7324545670213336,1.8804364872612203,324.11475546897645
-4.278556110544965,-3.218879588501327,-1.6102679234859552,-4.076898197494423,-1.2591898736434066,1.7515825639169913,2.6459063715302475,2.837837801650821,324.7700373413835
2.428091357301022,-2.750779290395118,0.08922829135423438,1.137748034516152,4.125471200510644,2.8937896051510634,1.8663966572905943,2.786182605937997,327.0650618561843
-2.286187214254007,-2.37860254612304,0.6498929224026071,2.211842614086608,-2.5946762955272193,3.201293051250568,2.9598178052088553,1.2139878776657493,327.69298143415307
-1.3862697245880415,-1.2722607413968663,4.082351470791121,-2.2440226669585526,4.639905798173267,3.053618708854625,3.3246348540378143,0.45639379412784287,328.73149536350417
-3.797124433214818,-2.0989322395470973,-2.588146140161177,-2.0884030351969054,2.701148098003917,1.3872635495823316,1.87280570564503,3.946617369392511,335.0837977261245
-2.79728479118533,-0.9706365164740491,-0.27002496006042787,0.7215512929777663,1.4356607611836028,1.490629254534543,2.7014662712923885,2.6985799184322286,336.45576304546694
-2.1860501299837187,2.1343660179563244,-4.549808244913724,0.6662969623225621,2.442098093390209,1.3646502620212528,3.902790305157623,1.7731392389095593,340.7667793315776
2.6856957778390003,2.0213691187345253,-2.236679812175973,2.285772579894881,3.2557905686612916,2.0091618774012616,4.434127873418802,1.4559025560674241,343.27033546937884
0.1728756596204697,-0.2846468952443395,-3.5153090155766655,-2.9971150535161732,-2.4274971196782467,4.078879183585185,2.4453926526881684,1.5142645268202326,343.56542754346583
-2.583432073700864,-3.531272821623025,-3.2313096206409053,4.493461307396615,-4.719417725575204,3.102503153244344,3.18253273807429,1.9088713615563684,346.50490055586647
