Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,vector_tag
-1.0847144368049082,-3.5052861270795304,-2.8823730001664014,2.6468453658592725,-1.9331702967910236,4.455451788757696,1.2000528885122332,1.0978494684525952,1.1818710391699465,"(44, -1)"
-1.0851922643790635,3.6886447136209553,-2.8829962077872557,1.4543662108709585,-1.932979746848254,4.455174816608,1.200064757893229,1.097830336192918,1.1818609706070524,"(94, -1)"
-1.0851934583230902,3.5264358304927756,-2.883164374528857,3.8444042296474645,-1.9329227356946943,4.4552045661030775,1.2000375846626774,1.0978343805927158,1.1818775460863806,"(19, -1)"
-1.0853358177873973,-2.3053871756978563,-2.8817465375869817,-3.7317291160674957,-1.9330493119422159,4.455095899480249,1.1998848887283307,1.0977269010026875,1.1819954713177845,"(77, -1)"
-1.544053078984472,-2.6396127444439563,4.485540889894366,-0.19575003318489806,-1.8999570685497256,4.411043612319598,1.2448314672206577,1.1107932775746494,1.125860048825347,"(7, -1)"
-1.544013160196416,4.896407625359368,3.776665564819811,-2.5730421718904,-1.8999730900596368,4.4111126671461705,1.2448214743836459,1.1108199743710656,1.125853421420696,"(60, -1)"
-1.5441231019606678,4.420557864291875,4.90964884201932,1.489354709455381,-1.899849894999609,4.411154165576967,1.2448907672728795,1.1107429071046064,1.1258010318218363,"(32, -1)"
-1.5440043124809457,-4.240824145700692,3.342405457563171,3.547495718212003,-1.899967516798459,4.411157423173913,1.2448118594230524,1.1108331879234268,1.125851569060367,"(66, -1)"
-1.5440055534584574,4.625069504794655,4.545004658713744,-4.703950075271035,-1.8999624602035217,4.41116390522554,1.2448110026298467,1.1108332945690584,1.1258518237851973,"(51, -1)"
-1.544015392217329,2.9175510207009676,4.332314875358981,-0.6571767670964823,-1.899953495615526,4.4111584962221775,1.244810831941031,1.110832596375139,1.125851101800701,"(64, -1)"
-1.5440060296417264,2.5232106489710064,4.5717021589592575,1.2615750162659474,-1.8999590970482794,4.4111263444562825,1.24486016697854,1.110794888006987,1.1258589301663535,"(92, -1)"
-1.5436463026328415,2.1068854709944684,3.5195590274044957,4.051059228869462,-1.9003221518163709,4.411272886247879,1.2447606642246063,1.1108941329527897,1.1258766159227387,"(59, -1)"
-1.5440156239200769,-4.515008013386153,3.8377268230572543,-4.7579088048230975,-1.8999511265278264,4.41116969409774,1.2448084774207513,1.1108213256679365,1.1258519444675048,"(73, -1)"
-1.544013782338483,4.984495937867452,3.265380785795236,-1.0601494550703203,-1.8999608997717585,4.411144869699034,1.2448191965458462,1.1108248209873028,1.1258421662702798,"(29, -1)"
-1.5440047292496006,1.3788252272681765,3.136739534683038,-3.9753426635202604,-1.8999536153895284,4.411178746047331,1.2448042278867821,1.110839043629965,1.1258514619872955,"(27, -1)"
