t,u1,u2,u3
0.0,2.0211783132890555,2.018334790563277,1.0012297326703292
0.125,2.2571346642758514,1.1056482801487382,0.21667400168859566
0.25,1.5405133260199373,0.6229016137335545,0.12921702505500832
0.375,1.0111041195640662,0.43325220439986467,0.01973613194633586
0.5,0.7354390227343754,0.3035525969869901,0.08027579455805273
0.625,0.4631612731235202,0.2181941611671937,0.06818927666746831
0.75,0.37025326273024045,0.17977842500121038,0.053182922632008495
0.875,0.22905507983908371,0.18870622755231148,0.11289761779325586
1.0,0.15655993161110004,0.14343998391427454,0.0766705087566664
1.125,0.15438779456409937,0.0876458168009017,0.16350248003479334
1.25,0.08247078109666639,0.1193909517088257,0.29026131947696304
1.375,0.048999033481206745,0.06929715305248438,0.37019251730639197
1.5,0.08510947993880469,0.10424712825090672,0.6764432050359183
1.625,0.04809981727228459,0.1240992802493874,0.9582159504791639
1.75,0.07365062092440494,0.17603347626659394,1.3774905907441883
1.875,0.05993080083575273,0.22640363968859714,2.004025347229162
2.0,0.12126144331986662,0.4132321000498827,2.476851990582503
2.125,0.188390603898245,0.8537435742555883,2.5139118497425925
2.25,0.40515066913519654,1.3110119037199277,1.6431774509852493
2.375,0.9151347084701451,1.321592708457501,0.7638499611584659
2.5,1.1963824606860214,0.9673795330775155,0.3001086425437919
2.625,1.1131898960179056,0.6842370595282244,0.21278360608483932
2.75,0.8905841660361098,0.469221016906316,0.12314071240865357
2.875,0.6463954936253572,0.37790605104949804,0.07693991225687344
3.0,0.49446379498719495,0.30772795396993896,0.14241168200197776
3.125,0.37310965565661325,0.24228993724779974,0.1581372271989751
3.25,0.2890032544483786,0.21269924623803663,0.20810603325797772
3.375,0.18406153049776178,0.1649181800012921,0.2570982403029437
3.5,0.14814462611727444,0.14585161585204776,0.2931102037881384
3.625,0.09587595952725114,0.1577196026844623,0.4503388596318652
3.75,0.13454985939753344,0.13611631923151063,0.676566673785354
3.875,0.1083720110848181,0.17592915699519882,0.8132220012401736
4.0,0.1138184545303653,0.24801235269003052,1.2173662153565887
4.125,0.13662005769669613,0.29777403154111276,1.6295748857921128
4.25,0.12551649745481736,0.4748907705406791,1.9649097940973952
4.375,0.2609165432438351,0.7211003973024767,1.938596365623859
4.5,0.4507263503675908,0.9546550702205769,1.4210199258330587
4.625,0.7206050780682879,1.0465653715998215,0.877569638137946
4.75,0.9065897499801813,0.8877411035122497,0.546319038703247
4.875,0.8725640085015777,0.6831387639080787,0.3106414986369026
5.0,0.7443342025503703,0.5008277495479986,0.23462986686322063
5.125,0.6074599650262478,0.4146774014883447,0.1646396097059791
5.25,0.49220457579026994,0.3013748390125119,0.25155135827193076
5.375,0.3743776575582711,0.2377895587539665,0.22242782121171784
5.5,0.29957259935814895,0.21126992957475846,0.31628621975468485
5.625,0.23222661852243967,0.21946866835682527,0.3826887800193626
5.75,0.1626438585312971,0.18413769647479147,0.5048088054794139
5.875,0.18971613761119008,0.1879990011799749,0.6788397748444602
6.0,0.17925502790813644,0.2308561122569419,0.8066773299602361
6.125,0.15065465258568672,0.26131613641738977,1.067273136200367
6.25,0.23073946082624386,0.36830912675935806,1.336925160631075
6.375,0.1672073791896047,0.4484570533349901,1.5960857837141813
6.5,0.2949733346042824,0.6124650567992865,1.5833036055027683
6.625,0.3774139298493543,0.7573308569535799,1.395228349019507
6.75,0.5981778494065546,0.8523928724806031,0.9620736434010757
6.875,0.7508955189506968,0.7801660975489226,0.6365154760842752
7.0,0.8448290940030204,0.713194575251852,0.46409534404313724
7.125,0.7824292253440637,0.5758737711204281,0.3684399974539675
7.25,0.6311000547318097,0.4683083519269427,0.34421538356960873
7.375,0.5180369139527323,0.3467095776846242,0.28043112373779966
7.5,0.43666946289436653,0.2930320123072077,0.2847672753144745
7.625,0.348396502868319,0.3261517961184547,0.2864390622912381
7.75,0.33123204403969586,0.2774821831468106,0.3626692510083974
7.875,0.23031164183908073,0.26358734804108164,0.5224193484173271
8.0,0.1883181469463465,0.26333817243949575,0.6652359140146369
8.125,0.20283811360463197,0.2415095849026604,0.8589940417897179
8.25,0.17086644825306724,0.28773263099686475,0.9973565478963543
8.375,0.23161742405123398,0.37446546196744795,1.227555812901086
8.5,0.26855177923036333,0.4710400774571394,1.3533084293710718
8.625,0.3469203585801739,0.5999762888581215,1.384301185996843
8.75,0.43700286631957197,0.7160349691352742,1.1809698116408478
8.875,0.6016781409177989,0.7900999613296618,0.86858268222667
9.0,0.695194301124493,0.7280421832650382,0.7111809992334123
9.125,0.7065244749957801,0.6071798124142376,0.5950435435913348
9.25,0.6896317157872811,0.5003076447134721,0.40855299974203046
9.375,0.6146226060667394,0.4236845346661834,0.3523825321096588
9.5,0.47237722345826993,0.4087793651619886,0.3541319627589572
9.625,0.438703836211361,0.3503035799845349,0.4321987143039617
9.75,0.4006062052777413,0.29381154043525354,0.44178894074960684
9.875,0.28648526551030296,0.2670271466169415,0.5281609175954407
10.0,0.2782199412318341,0.29867959824292784,0.6596058608687082
