Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5B_rel,sd_rSTAT5A_rel,vector_tag
-1.3459300059959483,-3.0948835834511605,-3.39137714666054,-1.8823781966980155,-0.1482092846701253,4.098459743642038,1.06560129497833,0.9153139080107879,"(72, -1)"
-1.3840677779469244,-4.267625860320363,-3.613125974322652,-1.8195997438364138,-0.14561681242987748,4.097953838591769,1.0657437554576596,0.9152892811228213,"(39, -1)"
-1.3847726957313284,-4.397137698357806,-3.6210963406193892,-1.8181974385958188,-0.14526064830622826,4.098000717958782,1.0657268164760845,0.9153095050494436,"(73, -1)"
-1.3872926585702203,-4.7633844213613985,-3.630828596801897,-1.815397153864109,-0.14517723244932235,4.097839968718015,1.065764255695432,0.9153178725880433,"(68, -1)"
-1.3873715654950685,-4.977625024603774,-3.6339492850903774,-1.8148354806971432,-0.1448200161649931,4.097923069001754,1.065746912056958,0.9153076780884299,"(3, -1)"
-3.1241077268095743,-4.938302463148129,-3.879589536530155,-1.5238995241524813,-0.2246527235291532,4.044032016922565,1.0654477594258367,0.9161454421083379,"(13, -1)"
-3.112944703563596,-4.919534392669506,-3.877654219257488,-1.5241290318190115,-0.22494349095763325,4.043975051891269,1.0654420441889627,0.9161415017332495,"(33, -1)"
-3.1739254079624786,-4.822333585215657,-3.8816869184265252,-1.5232911936874713,-0.2243198085142648,4.044063930135789,1.0654457520503302,0.9161519833059227,"(86, -1)"
-3.9852294808224844,-4.984980692508113,-3.925389091019667,-1.51725051893236,-0.21894176724504846,4.045240870205517,1.0654346729220272,0.9162130406815528,"(38, -1)"
-1.5303895496924784,4.982979745588511,-0.9791419920315207,-1.7489381804825048,0.02224476875830034,4.174721015910564,1.063327182448895,0.9231141037386442,"(19, -1)"
-1.5304348854918632,4.300875181773045,-0.9787801029456267,-1.7488421350385925,0.021919283608628715,4.174648910562726,1.0633175398734929,0.9231106818892753,"(49, -1)"
-1.5304290816020292,3.578591066237583,-0.9787740342127297,-1.7488505888260404,0.02189206695046402,4.174645691809512,1.063317212363884,0.9231093401436785,"(92, -1)"
-1.530402490346823,3.7507944851320363,-0.9787518109136052,-1.7488853068157642,0.021818952083721147,4.1746388951299656,1.0633141544901912,0.9231084948396665,"(50, -1)"
-1.5304386313253446,3.633430232118462,-0.9787511711504739,-1.7488319482917392,0.02189920968598237,4.174646621301854,1.0633172689956114,0.9231094592693392,"(5, -1)"
-1.5304658644123863,3.6101208343377658,-0.9787623427407531,-1.7488030266708356,0.021925693765700756,4.174650558480449,1.0633086608311486,0.9231265973470917,"(47, -1)"
