Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5B_rel,sd_rSTAT5A_rel,vector_tag
-1.7354688194711412,-0.9877693515573177,0.4041881729569011,-1.5166509683661078,4.5341665892325835,4.051072492190276,0.6309172115172422,0.5490734430750491,"(44, -1)"
-1.735432408102889,-0.9873026369268628,0.403137737999022,-1.5166307797965755,4.372650170485766,4.051208851911496,0.6310039128596191,0.5490249600655087,"(13, -1)"
-1.735361754290513,-0.9873868115975032,0.4055471118928008,-1.5169223384870052,4.044268880227611,4.050827400957797,0.6308619837071442,0.5491372378802241,"(43, -1)"
-1.7354469890366555,-0.9873618975733119,0.4042284378251493,-1.5166476875311454,3.9473754683106264,4.051112690643073,0.6309040471830992,0.5490398575291167,"(37, -1)"
-1.7355217593287715,-0.9874995364699064,0.40218883297878316,-1.5163031565136367,2.749943804155233,4.051540138987557,0.6311727196446899,0.5488652001320312,"(27, -1)"
-1.7347750936048745,-0.9696819315041175,3.9270065414001514,-1.551474118295931,3.6637775644783694,3.993369822708631,0.6285914739819423,0.5618994458594584,"(1, -1)"
-1.7146149897239802,4.733995323614815,0.5131235141271063,-1.5317055288151191,4.616170818278078,4.0561218887187405,0.6772006341401928,0.5406672258045921,"(86, -1)"
-1.7146167838024926,2.6266129872261117,0.5123534571829276,-1.5316580500807255,4.0569193553869365,4.056207208701747,0.6772235134991365,0.540618490730497,"(5, -1)"
-1.7146194982702148,4.714850014528858,0.5126592457854777,-1.531682885293022,4.069177001391686,4.056158850452637,0.6772658030422426,0.5406374030283663,"(69, -1)"
-1.7145637477907616,4.846200078046849,0.5139205971822345,-1.5317796865186093,3.406056224684154,4.0561073673469235,0.6772249806680186,0.540712225020515,"(23, -1)"
-1.713598703601818,4.472533184975479,2.7674548783934574,-1.561242094918281,4.999983969924343,4.007934884762683,0.6737380119430223,0.5501550390096865,"(17, -1)"
-1.7137361298835798,1.1825407043631773,4.13573357319986,-1.5614087914666743,3.182050035313678,4.007687863606712,0.6740467281455105,0.5500657580454374,"(50, -1)"
-1.713806986609804,4.771798054451662,4.965910419347875,-1.5610885656546711,3.741188867301707,4.007809680566777,0.6741749103263505,0.5499532087368476,"(8, -1)"
-1.7138212481407216,4.022203346906988,4.9998331805703335,-1.5610066536525091,2.8600448383969717,4.007905958337604,0.6741197181800092,0.5498492429776669,"(80, -1)"
-1.7137938258521352,4.52243220175661,4.121164595102699,-1.5609219091638982,2.5464367255086833,4.008117834780056,0.6742349632895415,0.5493781681576182,"(26, -1)"
