Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,vector_tag
-0.8614133728750614,-0.5708541788668893,-1.948777084625049,4.09997012690711,4.326587104353883,1.304625177526963,1.1921688311017902,0.6363954981180973,"(27, -1)"
-0.8614178171216309,-2.9319937623605297,-1.9488930659086208,3.3591738825202007,4.326584364732446,1.3046084862393605,1.1921440853822187,0.6363910918292235,"(16, -1)"
-0.8614075365599579,-3.8396620017177843,-1.9488882311058136,3.276831025935516,4.326591894975227,1.3046080682795447,1.1921533615866526,0.6363826091626513,"(67, -1)"
-0.8616141327886442,3.5710386059916446,-1.948629430340126,4.350094195053818,4.326387673951375,1.3045945100862077,1.1921483067354117,0.6363990318985703,"(76, -1)"
-0.8613157765330718,3.164865027553854,-1.9488243931190161,3.005972251316175,4.326682596412812,1.3045931249447527,1.1921553825156885,0.6363755989139364,"(34, -1)"
-0.8614854837800532,2.8715485021794427,-1.9488343597100788,3.0983213561830807,4.326510260794295,1.3046057788544456,1.1921516698669796,0.6363842127276975,"(90, -1)"
-0.861365653671976,-0.21220529395458385,-1.948865308611033,3.1818045125179353,4.326613570985416,1.3046048734649298,1.1921626507687904,0.6363978667366266,"(50, -1)"
-0.8612042582876688,1.5053448621490975,-1.9489706734160692,2.8237696696435117,4.326695307358328,1.304609399036664,1.192204543163545,0.6364795908336549,"(79, -1)"
-0.8613840996737168,-0.5378437126858518,-1.9488847337482849,2.8670775401694892,4.326618761541131,1.3046008172485384,1.1921593546812765,0.6363809139190789,"(65, -1)"
-0.8616605537948765,3.1647718732395766,-1.9487671447560906,2.424551250481161,4.32645530486655,1.304559655449295,1.1921505380978161,0.6363731917705916,"(49, -1)"
-0.8614319689400548,4.882145994251488,-1.948872547483558,2.176981084945522,4.326574648927978,1.3047970919502954,1.19213168915164,0.6363708534794307,"(4, -1)"
-0.8614283889624453,-3.9999420291399095,-1.9487084514871753,2.126295148877155,4.326711561752187,1.3045666627873262,1.1921584772328497,0.6364267660448159,"(92, -1)"
-0.8616494380413996,-3.4837787575138437,-1.948245873342094,2.1292626688105805,4.326802787075853,1.30425366067954,1.1920783031944044,0.6361634968422036,"(48, -1)"
-0.86161870668144,-1.5972410947881661,-1.9479440125203094,2.2024566611076497,4.327010984997898,1.3047516043192975,1.1920602644406415,0.6362574429969418,"(38, -1)"
-0.86089119417033,-1.5546838645479315,-1.9482719682767309,3.4182039338496426,4.326639576859661,1.3014187557327457,1.1953456943676162,0.6364163411055974,"(56, -1)"
