Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,vector_tag
-0.8876569379851714,2.044929662419072,-1.6766212869966701,-1.5977068168387618,4.1078698293815945,1.2141301069577073,1.1169361711024286,0.6893987906171427,"(41, -1)"
-0.8879201848949537,-4.042910455141804,-1.6765683040734887,-1.5983758077027623,4.107648256539237,1.2141035479260518,1.1168972894789606,0.6895000530622923,"(10, -1)"
-0.8876498229029051,-4.510273602277191,-1.6765924371706218,-1.5977100307539658,4.107883330770836,1.21413934327111,1.116937535845906,0.6894038673890419,"(81, -1)"
-0.8876461563504986,-0.8548272679750628,-1.6766061186067411,-1.5976929760748197,4.107894401053904,1.2141435909364597,1.1169460885992344,0.6894010775200653,"(11, -1)"
-0.8876516313679588,-2.0891867954952623,-1.67659638551426,-1.5977151373320688,4.107885945255225,1.2141400098782578,1.1169366948141648,0.6894056842234025,"(66, -1)"
-0.8878514213694155,-4.321805461416147,-1.6767447581712531,-1.5978080882076773,4.10774299377806,1.214184246825884,1.1168137221458192,0.6892872550580359,"(65, -1)"
-0.8876521159894281,1.0325867889178784,-1.6765954334220607,-1.5977147705976813,4.107887255386734,1.2141386889332315,1.116937305775679,0.6894054486234336,"(16, -1)"
-0.8876352049160746,-2.3312650236016497,-1.6766682332453438,-1.597691271317406,4.107913258676781,1.214133366626441,1.1169414093306786,0.6893987334373348,"(80, -1)"
-0.887623512108124,-4.983109664343956,-1.6765557736988501,-1.5977680696317405,4.107918101004676,1.2141253448025038,1.116936413662124,0.6894132866754181,"(17, -1)"
-0.8876261652798255,3.8638311560479948,-1.6765958953833098,-1.597688216368231,4.107922183959768,1.2141407482731812,1.1169490780428535,0.6893874674586259,"(32, -1)"
-0.8877240902130166,4.395754467728682,-1.676449123106146,-1.5977771972219097,4.107784546655851,1.2141187271423823,1.116908090872557,0.6894233029558956,"(63, -1)"
-0.8876397375801619,-4.824243648622183,-1.676591589534116,-1.5976878356418631,4.107917218004836,1.2141493276383002,1.116947993160714,0.6893900173851926,"(99, -1)"
-0.8876486360434062,3.669707531318051,-1.6765973258282443,-1.5977077540624722,4.107894075862308,1.2141420516615353,1.1169402706761284,0.6894038057691194,"(33, -1)"
-0.8877687081636156,-2.6758572833830954,-1.67635257617103,-1.597590591793098,4.107837996736192,1.2140569723809862,1.1169141013979924,0.68931206965096,"(72, -1)"
-0.887333622429545,-3.043934763802461,-1.676129344745337,-1.5978429142508874,4.107942512914218,1.2142317239453153,1.1163867921712958,0.6894478864789934,"(26, -1)"
