epoch,loss,regularization_loss,r1,a1_1,a1_2,a1_3,r2,a2_1,a2_2,a2_3,r3,a3_1,a3_2,a3_3
1.0,1942.5360299854597,0.19160443233474092,1.0986123085021973,1.0296194553375244,1.7917594909667969,0.6931471824645996,0.09531020373106003,0.5877866148948669,-0.6931471824645996,1.0296194553375244,1.3862943649291992,1.0986123085021973,1.7917594909667969,-Inf
2.0,1941.927372923275,0.19154425196788474,1.0985123085021973,1.0297194553375244,1.7918594909667969,0.6932471824645996,0.09541020373106003,0.5878866148948669,-0.6930471824645996,1.0295194553375244,1.3863943649291992,1.0985123085021973,1.7916594909667969,-Inf
3.0,1941.3196820519847,0.19148408647884962,1.0984308480154126,1.0298055704435445,1.7919374967944106,0.6933269736965941,0.09548971740310602,0.5879659371703858,-0.6929661164825173,1.029437233881576,1.3864740043791253,1.0984306409754905,1.7915778816226136,-Inf
4.0,1940.7121310663815,0.1914239293147188,1.0983937190906878,1.029895015879604,1.7919645097712011,0.6933589425614748,0.09552102164171498,0.5879966557604505,-0.6929302089787788,1.0293978004270439,1.3865056322892713,1.098392939549942,1.7915403186810062,-Inf
5.0,1940.1044600554837,0.19136378553561462,1.0983942979571926,1.0299884387486826,1.791952489000613,0.6933520593531521,0.09551375683803777,0.5879885233111503,-0.6929323468373174,1.0293954450501153,1.3864985802061174,1.098392914431655,1.7915402959765225,-Inf
6.0,1939.4968427407691,0.19130365501219418,1.0984151334310517,1.030083560382646,1.791920683574951,0.6933247124715944,0.09548650964481784,0.5879601465370824,-0.692954886051008,1.0294131323439666,1.3864713329982832,1.098413263476318,1.7915604171910129,-Inf
7.0,1938.8894488952371,0.19124353806401156,1.098442820348282,1.030175930749826,1.7918821969556795,0.6932899668468149,0.09545258817735842,0.5879246183422563,-0.6929845597422185,1.0294373074549468,1.386437084595318,1.0984406513487623,1.791587211001899,-Inf
8.0,1938.2823234993414,0.1911834357852347,1.0984659704048005,1.0302586935590903,1.7918480553662484,0.693258630272741,0.09542325803715013,0.5878928383327842,-0.6930102102524266,1.029456346393766,1.3864068922967978,1.0984638092300154,1.7916091864780477,-Inf
9.0,1937.6753821406924,0.19112334842584758,1.0984757099646891,1.030324362362966,1.7918272974986065,0.6932394132873926,0.09540755235914612,0.587873629243316,-0.6930230377621251,1.0294614097134729,1.386389651146717,1.0984739562598766,1.7916174510057028,-Inf
10.0,1937.068523322745,0.19106327541737728,1.0984690005440154,1.030368819290622,1.7918234805549043,0.6932358484856257,0.09540879017212316,0.5878705233613156,-0.6930197989835417,1.0294497901257074,1.3863887932418837,1.0984679953419023,1.7916090691676203,-Inf
11.0,1936.4617326778853,0.19100321638844867,1.0984482508324405,1.030392950199082,1.7918344545713982,0.6932460134967444,0.09542466128428762,0.5878815226112869,-0.6930026872556131,1.0294241231328707,1.386402195067877,1.0984482139725142,1.7915865333924341,-Inf
12.0,1935.8550676870439,0.19094317173427305,1.0984182132257878,1.0304006586504575,1.791855366081255,0.6932652106223244,0.09545034444486031,0.5879018965598056,-0.6929764074446161,1.0293891343828963,1.3864250981389477,1.0984192970833833,1.7915545805325168,-Inf
13.0,1935.2485896094859,0.19088314209180618,1.098384343519143,1.0303966976574621,1.7918805257285972,0.6932877403697635,0.09548028729340752,0.5879259854822483,-0.6929464841701551,1.02935010168114,1.3864518923656413,1.0983866864991323,1.7915185726719243,-Inf
14.0,1934.6423163388954,0.19082312779848679,1.0983523097108492,1.030385670080832,1.7919040609352763,0.6933076461519689,0.09550876588710923,0.5879479041029794,-0.6929186726203319,1.0293124798760562,1.3864767568360095,1.0983560477083678,1.7914840507031282,-Inf
15.0,1934.0362173164647,0.19076312880132795,1.098327158574929,1.0303715763638186,1.791920823733968,0.6933197907209974,0.09553071760752066,0.5879625402391172,-0.6928980364026313,1.0292811851050263,1.3864945937789535,1.0983323972538568,1.7914559666416943,-Inf
16.0,1933.4302497799172,0.19070314500448307,1.0983119237264096,1.0303573621614415,1.791927783054978,0.6933213346408833,0.09554310099351113,0.5879669887891588,-0.6928875253138934,1.0292592772301767,1.3865024405711859,1.0983187019798197,1.7914373455338057,-Inf
17.0,1932.8243998165788,0.19064317659715357,1.0983068502247422,1.030344523840615,1.7919247245695284,0.6933123229396221,0.09554564836375495,0.5879611912786449,-0.692887264514939,1.0292471249591033,1.3865001603291067,1.0983151321105857,1.7914284841549923,-Inf
18.0,1932.2186884674047,0.1905832239772664,1.0983098403278653,1.030333089209292,1.7919137309646531,0.6932950148951941,0.09554042318395901,0.5879473437339487,-0.6928950750668167,1.0292427356403455,1.3864899080333628,1.0983195317569732,1.7914273255455457,-Inf
19.0,1931.6131480606641,0.19052328747606584,1.0983173736259864,1.030322031689401,1.791898254981465,0.6932729318358463,0.09553091341542257,0.5879289639522514,-0.6929074014042895,1.0292426378431503,1.3864752046218976,1.0983283350051207,1.7914303485191205,-Inf
20.0,1931.0077957183457,0.19046336718992818,1.0983253225466776,1.0303099204955404,1.7918823425373658,0.6932501463803533,0.09552122222974684,0.5879101509558311,-0.6929200899164654,1.0292427394254289,1.3864601675262354,1.0983373663954914,1.7914334071792186,-Inf
21.0,1930.4026234018975,0.19040346306248626,1.098329781495848,1.0302955935074651,1.7918698449120105,0.6932305716462178,0.09551523301982859,0.587894829807346,-0.6929291855567098,1.0292392105116748,1.3864487224089925,1.0983426664272404,1.7914326048773557,-Inf
22.0,1929.797609856641,0.1903435751002119,1.0983280033279923,1.030278675113471,1.7918634951580041,0.6932170664642926,0.0955156628643815,0.5878858294514373,-0.6929318696300064,1.0292294231028436,1.3864436681007473,1.0983414402135425,1.7914252504306285,-Inf
