observableId	simulationConditionId	measurement	time	noiseParameters	datasetId
pSTAT5A_rel	model1_data1	0.5541656559146284	0.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	52.75312400195359	1.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	66.2225907920667	2.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	73.47108064619998	3.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	84.25647077913497	4.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	88.62279435787661	5.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	88.33040096775346	7.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	86.97170607373016	10.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	94.62637370842347	12.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	87.7354015862851	15.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	89.95173201273406	17.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	94.6392832857456	20.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	84.62675632098582	25.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	93.29270729598757	30.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	89.36460864459423	35.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	91.00138447032879	40.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	89.50062501077184	45.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	89.48147272003979	50.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	90.09455350145672	55.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	83.91272730073374	60.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
