time,pSTAT5A_rel,pSTAT5B_rel,rSTAT5A_rel,STAT5A,STAT5B,pApB,pApA,pBpB,nucpApA,nucpApB,nucpBpB
0.0,0.0,0.0,21.28928343793604,143.86679999999998,63.73320000000001,0.0,0.0,0.0,0.0,0.0,0.0
0.1,10.556761895438187,3.048595303826025,22.406762307171157,134.5487436428814,60.51503998761066,1.6991298167956206,0.0003670459413945415,7.42482940534375e-05,11.848313683089534,0.00441580674545005,2.360496961747111
0.2,19.169496420064707,5.865082489753673,23.427640932133585,126.36892049491236,57.6356936515071,3.2066393248514338,0.00032290135557307186,6.716935255765639e-05,22.221321976787145,0.01698299872525713,4.488203788316063
0.3,26.318383506414463,8.477943996081827,24.364285505044485,119.1324292764574,55.043009730619445,4.553108496077881,0.00028620521155811157,6.109712446037513e-05,31.37378089332323,0.036806533037902545,6.416867189786789
0.4,32.3390369955316,10.910654876527722,25.226979838025795,112.68634604757811,52.695177274111586,5.762883820747544,0.0002553808887131368,5.584528339944483e-05,39.50608266733915,0.06313048277814265,8.17403264794826
0.5,37.47297171490814,13.1829499810133,26.02437991857035,106.90901713280884,50.55825962261974,6.85559815959146,0.00022924652479743585,5.1269295005739204e-05,46.77725225718827,0.09531037533420722,9.782273202197567
0.6,41.89818339736552,15.311576730448659,26.763823802383147,101.70246860475761,48.60440692952156,7.847264732977321,0.00020690233237779385,4.7255545653024955e-05,53.31506393867213,0.1327921240783014,11.260278779042677
0.7,45.74858872871559,17.31086780023411,27.451574025222534,96.98691993766883,46.810537005251646,8.751079178740241,0.0001876536712544418,4.37136549475671e-05,59.22333636324967,0.1750957329396275,12.62366873817177
0.8,49.12677171195897,19.193182201742914,28.093008571609623,92.69675504471657,45.15734745998847,9.578016450336943,0.0001709574942918109,4.0570944691924025e-05,64.58727787044215,0.221802538984147,13.88560642706258
0.9,52.11257134999519,20.969250050123108,28.69277268392841,88.77751692509372,43.6285651250055,10.337281675811726,0.0001563844024582377,3.776839631488619e-05,69.47746531920436,0.27254510026954615,15.05727048024979
1.0,54.76900506469309,22.64844451090918,29.254900320230863,85.18363724219554,42.210369077221536,11.036654802817258,0.00014359131986375832,3.5257653484222015e-05,73.95284387205801,0.32699910318664605,16.148220277868717
1.1,57.146442375762675,24.238999240782256,29.78291220924699,81.87669779668005,40.89094150737328,11.682757457406607,0.00013230152709845872,3.299877034942644e-05,78.06301959253203,0.384876814941588,17.166682762252645
1.2,59.28560340717089,25.7481852284061,30.27989587904661,78.82408071364708,39.66011349933049,12.281262341496955,0.0001222898615599531,3.095849789902925e-05,81.85003614961092,0.44592172563530363,18.119780402790536
1.3,61.219745167890224,27.182453193094155,30.748570780234058,75.99791685800444,38.50908491861326,12.837058016870092,0.00011337163562597888,2.9108968580413783e-05,85.34975651477365,0.5099041584430146,19.01371279323538
1.4,62.9762822311687,28.547550481583972,31.191341926710486,73.37425499994875,37.43019996287844,13.354380338519734,0.00010539423812038948,2.742667540697969e-05,88.59295276514257,0.5766176303307539,19.853903166336103
1.5,64.57800698878407,29.84861925578231,31.610344703263504,70.93239583681448,36.41676479352634,13.836918772831817,9.823067920252709e-05,2.5891669335049222e-05,91.60617821350083,0.6458757965387399,20.645118224424376
1.6,66.04401687345988,31.09027741414401,32.007482007446136,68.65435917555722,35.462899709292536,14.287902207923144,9.17746130618952e-05,2.448692665408997e-05,94.41246404644237,0.7175098942501102,21.39156588898977
1.7,67.39042743722194,32.27668589803528,32.38445524746675,66.52445374849519,34.56341831490736,14.710168810072215,8.59364490639904e-05,2.319784463202e-05,97.03188092360313,0.7913665882338031,22.096975673731496
1.8,68.63092856037267,33.41160648396696,32.74279069928887,64.52892392126198,33.71372710097219,15.10622385240426,8.064028714982357e-05,2.2011835893044777e-05,99.48199951883305,0.8673061269183414,22.76466586113236
1.9,69.77722066481206,34.498450264543024,33.083861688256825,62.655660955696895,32.909742424509524,15.47828734169365,7.582148847250988e-05,2.0918000758709124e-05,101.7782663725879,0.9452007736803735,23.397599343063522
2.0,70.83936079234127,35.54031919413033,33.40890750250489,60.89396399839457,32.147821028311355,15.828333733426728,7.142473316908486e-05,1.990686041817736e-05,103.93431458936465,1.0249334572642192,23.998430598431685
2.1,71.82603842249385,36.54004099121924,33.71904937961615,59.23434297769874,31.42470214268244,16.15812491225729,6.740246040843664e-05,1.897013887548208e-05,105.96221972166579,1.1063966170510426,24.569545032247184
2.2,72.74479979485098,37.50020094233504,34.01530464531807,57.66835011329825,30.737457468915977,16.469238583396034,6.37135963498157e-05,1.8100581939138987e-05,107.87271821827953,1.189491178014181,25.11309312780809
2.3,73.60222848470985,38.42316823661467,34.29859861499177,56.18844105313779,30.083449516411427,16.763091837875216,6.032252394679228e-05,1.729180825329326e-05,109.67538721828375,1.274125673464677,25.631019037640446
2.4,74.404091637346,39.311117542736895,34.56977454357139,54.78786002768394,29.46029691957147,17.0409607283102,5.7198243154838675e-05,1.6538186126333096e-05,111.37879312206204,1.3602155037139472,26.12508445485906
