observableId	simulationConditionId	measurement	time	noiseParameters	datasetId
pSTAT5A_rel	model1_data1	0.0	0.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	54.76840763598792	1.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	70.83882491763653	2.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	78.29485811970046	3.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	82.52632790874885	4.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	85.21638224595772	5.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	88.89587305048794	7.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	90.66947435868364	10.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	91.62152153118886	12.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	92.1422844852838	15.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	92.40598260249203	17.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	92.5018528722108	20.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	92.37133266726745	25.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	91.96289346858188	30.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	91.36651053261333	35.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	90.62526364282043	40.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	89.76117588474916	45.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	88.78583176138214	50.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	87.70534004924778	55.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	86.52289794403298	60.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	83.85843185225507	70.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	80.8019287904878	80.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	77.36672471734272	90.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	73.5772941566796	100.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	69.47239893026854	110.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	65.10552601792433	120.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	55.86131286803493	140.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	46.46230588991203	160.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	37.52245881259224	180.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	29.514493274529354	200.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	22.70133322159064	220.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	17.1453500273231	240.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5B_rel	model1_data1	0.0	0.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	22.648053773357347	1.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	35.53977493883125	2.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	44.00479750026399	3.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	50.01563648044701	4.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	54.50329836656711	5.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	61.89323089453521	7.5	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	66.28791369630278	10.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	69.0930270973596	12.5	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	70.94300044434081	15.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	72.16836293882703	17.5	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	72.958998244297	20.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	73.66402717770526	25.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	73.59744249581087	30.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	73.02208174326657	35.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	72.0829977014596	40.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	70.86826158362462	45.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	69.43584267475386	50.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	67.82676922696709	55.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	66.0720866694882	60.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	62.22184040568854	70.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	58.04599948943656	80.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	53.675147511201274	90.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	49.222529960435324	100.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	44.78727430973442	110.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	40.4540985307839	120.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	32.3550942257194	140.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	25.290700467105864	160.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	19.400295834178024	180.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	14.658404499835664	200.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	10.943426045566476	220.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
pSTAT5B_rel	model1_data1	8.093218781489323	240.0	sd_pSTAT5B_rel	model1_data1_pSTAT5B_rel
rSTAT5A_rel	model1_data1	21.28928343793604	0.0	sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel	model1_data1	29.25476951504428	1.0	sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel	model1_data1	33.40873533824171	2.0	sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
rSTAT5A_rel	model1_data1	35.98111224053077	3.0	sd_rSTAT5A_rel	model1_data1_rSTAT5A_rel
