observableId	simulationConditionId	measurement	time	noiseParameters	datasetId
pSTAT5A_rel	model1_data1	14.962694940169259	0.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	54.07172773909903	1.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	66.94096515229951	2.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	100.91794991875592	3.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	64.86774699322315	4.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	77.15347206603984	5.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	82.38963000058426	7.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	98.74173914778862	10.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	82.48645203055433	12.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	83.69719416552181	15.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	70.30745439038635	17.5	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	102.54300443881769	20.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	103.46967241782465	25.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	85.40448525283298	30.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	93.61525597756243	35.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	72.8290529801248	40.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	83.26559589006618	45.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	107.75645721389633	50.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	89.5739819724563	55.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	118.33030029066452	60.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	73.02093532097744	70.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	88.79086214392645	80.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	74.67514282447664	90.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
pSTAT5A_rel	model1_data1	81.36706230867078	100.0	sd_pSTAT5A_rel	model1_data1_pSTAT5A_rel
